TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,HASH
TEAM BEVEL,1,adewale-the-amebo,adewale the amebo,Adewale likes to be in everyone's business.,Male,hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity;,cad316c3-37f8-4b27-9f53-9d803bfcfee7,86a1cd76cbfe58aa4294eff31bf6093a1b15d39a03571d864d181e0ea68aecbd
,2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none: strength: powerful; weakness: none;,a57ecda4-a26f-4e97-a757-e1800af39aab,94f308d3ef7e5b031eaffd602f90f723890c2304300a5a6b8bf8d58408e6c013
,3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,Female,hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude;,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,2490779d0f817fe336620458e6db07d4def746d426dcb92dbee8b46ee8034b8d
,4,aminu-the-carpenter,aminu the carpenter,Aminu's hands are blessed; he makes the best furniture in the whole of Kano.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none;,4f30b751-96e7-40fe-97fd-e3d44973ff2f,47ca1798bf43e260067bc571244b8bec9bbb7611d1f32c5e914ed86af06f3058
,5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,Male,hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none;,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,3cc6c8df37305c79e72da03d0bf0fdbcc087961b5a8f33257b35a5f1f2d32648
,6,chidinma-the-model,chidinma the model,From Paris' runways; to London's streets; she's always in demand.,Female,hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none;,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,d52d935c8630ec4b4b2e95b54769c9887d0a6faa436494f5751802561631b6c9
,7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,Female,hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none;,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,02670bbca1489b3359223dd55c08da7e4180289e8bf3414131e2f36e4de6a5c7
,8,damilare-the-handsome,damilare the handsome,He's a fine boy; proper eye candy.,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,27eca2dc-d7df-474a-8f8f-1858152c711e,1c8d3d5e5495f27e94693207fe92fef6b35d4e1672713e0751c734607b96cfdb
,9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,Male,hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none;,f1df8270-4d60-4bd4-8959-ba7c384db5c4,108f98c1ca4b28a0164f6c7b41b5a7efa98a3c47a47124c34e6ad8a6c687eabc
,10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,Male,hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none;,9b3d75da-4887-4089-aee4-50de3954fdc9,f22412b9d5d26ecc1a5e806456bccb3963d7c3ad8bda5024a54fb4a2c9e3b4da
,11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,cfe29058fd1dc964144495c6a0007cb38a23af301ca1059f376c2ce14fb6f45e
,12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,Male,hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none;,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,c939537b35c76926683e7e5e6978e4b889cde72cbdb16a0f425b8fe71580be3d
,13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him still.,Male,hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none;,dfbb4163-df24-4d54-b74c-6218a68df8bd,21c97c2fbda1aa541e2af5dafbeca1d143f96e6682beb17c7db8aa5918bcf1ce
,14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,Male,hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none;,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,4106bb0dd43cbce5e3e312cafbe407291587e8b13813ff77de3f5e6607844d68
,15,nina-paper-chaser,nina paper chaser,Nina loves money. It's all she dreams of.,Female,hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none;,59524227-dc52-407c-8cca-e9e8c5fb3018,d509ee475338a67ee8fb41c6a7febc4db62a951b9d1a93e4342a160e6b47cbee
,16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none;,808f7007-6552-4efa-bd13-4b7c337b102b,a63a3ef7a319529e3ffe04b14e2c83e3d51a6b1e7a617144e1da348a98e3924b
,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none;,ba3edda7-8940-4ca4-97ba-826398d5909f,50bd7ccdc7733d6fb1a75b7bacd8cfc0c1a48d6a673eda9b869d3e9275a82d1a
,18,tiwa-london,tiwa london,If she says she's in London and you see her; you're in London too.,Female,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;,78da7aeb-8352-4e25-89ac-dc48b5984089,b78abc0f524335a6d7ab144d8acd02efa4f6230b7400dea7944bb576f0d585eb
,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity;,53b46bd7-a537-402b-b249-0b4074a8faae,3ce03c686fd8c4620a95d73d0ff46d0ee0eeb9b159a8b3b2f8f8fa2fac950f71
,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things;,4adb6781-1614-424e-8f77-fe59ffca2209,4092c77c93bfc747b2134bbf60cfddfbf5b447296ee3f96c7a3ad9b8c32afbf9
TEAM CLUTCH,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair: none; eyes: black; teeth: none; clothings: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation;,770f817a-9d9a-4772-9a91-e66dd9d03470,cbeb5d6d999ffb7042e8473eb6839ee6cf2395fc6f75fe9730e8abdd24c4781a
,22,emeka-the -clown,emeka the clown,Emeka the funny man; always making silly joke.,Male,hair: none; eyes: black; teeth: none; clothings: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique;,78810fa6-a7ef-4d83-bf57-caf49db4ee69,00e920fbcf07a50c7e3eab62c5fd507103972702697ee4355b53e32043c94f25
,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair: none; eyes: brown; teeth: none; clothings: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience ;,f2957ded-022c-4b07-92c6-b345d4816a67,5676e98422f6ec5d9b5a09a54c809a635cbda7642c148134dac6bbbe6a1294ba
,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair: none; eyes: grey; teeth: none; clothings: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant;,09395e76-19ed-4852-8748-795ee7496a8e,9473778f717952dd13b139c8bd68289710a9e9c5ea458269a1bf1b166b34429e
,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous;,4d94d4f7-9b69-4e43-9db1-1fe83df92857,ced254788b13357a8da61bc39cf69f643b4ffcb515cfd2140a4d62ff02b7038f
,26,saro-the-baller,saro the baller,Saro is a baller and he is always ready to turn-up,Male,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothings: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable;,d35a7514-8996-42fb-a5f2-5a603ec679c5,9dc44d21d34fcb807947e406fd8fcaea0b76efe647ee3d90b7f3992d60dc9c97
